"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Harbour","On Bounty","Swiss","-","11.48%","Dashing Buccaneer",1150
"Harbour","On Bounty","Swiss","-","11.48%","Barmy Gunner",1150
"Harbour","On Bounty","Swiss","-","10.87%","Pirate",1150
"Harbour","On Bounty","Swiss","-","10.61%","Bilged Boatswain",1150
"Harbour","On Bounty","Swiss","-","10.35%","Corrupt Commodore",1150
"Harbour","On Bounty","Swiss","-","9.91%","Cabin Boy",1150
"Harbour","On Bounty","Swiss","-","4.26%","Dwarf",1150
"Harbour","On Bounty","Swiss","-","4.17%","Scruffy",1150
"Harbour","On Bounty","Swiss","-","3.48%","Spotted",1150
"Harbour","On Bounty","Swiss","-","3.04%","Steel",1150
"Harbour","On Bounty","Swiss","-","3.04%","Pugilist",1150
"Harbour","On Bounty","Swiss","-","2.78%","Granite",1150
"Harbour","On Bounty","Swiss","-","2.70%","Bionic",1150
"Harbour","On Bounty","Swiss","-","2.52%","Brown",1150
"Harbour","On Bounty","Swiss","-","2.52%","White",1150
"Harbour","On Bounty","Swiss","-","2.52%","Grey",1150
"Harbour","On Bounty","Swiss","-","2.35%","Diamond",1150
"Harbour","On Bounty","Swiss","-","1.91%","Gold",1150
"Harbour","On Bounty","Marble","-","12.00%","Dashing Buccaneer",300
"Harbour","On Bounty","Marble","-","10.67%","Cabin Boy",300
"Harbour","On Bounty","Marble","-","10.33%","Bilged Boatswain",300
"Harbour","On Bounty","Marble","-","10.00%","Barmy Gunner",300
"Harbour","On Bounty","Marble","-","10.00%","Pirate",300
"Harbour","On Bounty","Marble","-","8.67%","Corrupt Commodore",300
"Harbour","On Bounty","Marble","-","5.00%","Spotted",300
"Harbour","On Bounty","Marble","-","4.00%","Scruffy",300
"Harbour","On Bounty","Marble","-","4.00%","White",300
"Harbour","On Bounty","Marble","-","3.67%","Brown",300
"Harbour","On Bounty","Marble","-","3.67%","Bionic",300
"Harbour","On Bounty","Marble","-","3.33%","Granite",300
"Harbour","On Bounty","Marble","-","3.33%","Dwarf",300
"Harbour","On Bounty","Marble","-","2.67%","Steel",300
"Harbour","On Bounty","Marble","-","2.67%","Grey",300
"Harbour","On Bounty","Marble","-","2.33%","Diamond",300
"Harbour","On Bounty","Marble","-","2.00%","Gold",300
"Harbour","On Bounty","Marble","-","1.67%","Pugilist",300
"Harbour","On Bounty","White Cheddar","-","12.31%","Pirate",869
"Harbour","On Bounty","White Cheddar","-","12.08%","Corrupt Commodore",869
"Harbour","On Bounty","White Cheddar","-","11.97%","Dashing Buccaneer",869
"Harbour","On Bounty","White Cheddar","-","11.16%","Bilged Boatswain",869
"Harbour","On Bounty","White Cheddar","-","10.93%","Cabin Boy",869
"Harbour","On Bounty","White Cheddar","-","10.93%","Barmy Gunner",869
"Harbour","On Bounty","White Cheddar","-","5.87%","Scruffy",869
"Harbour","On Bounty","White Cheddar","-","5.29%","Dwarf",869
"Harbour","On Bounty","White Cheddar","-","4.49%","Bionic",869
"Harbour","On Bounty","White Cheddar","-","4.26%","Granite",869
"Harbour","On Bounty","White Cheddar","-","3.34%","Steel",869
"Harbour","On Bounty","White Cheddar","-","2.65%","Pugilist",869
"Harbour","On Bounty","White Cheddar","-","2.42%","Diamond",869
"Harbour","On Bounty","White Cheddar","-","2.30%","Gold",869
