"Location","Phase","Cheese","Charm","Attraction Rate","Mouse","Sample Size"
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","15.48%","Dark Templar",3681
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","13.39%","Mind Tearer",3681
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","9.24%","Shadow Stalker",3681
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","5.84%","Solemn Soldier",3681
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","4.07%","Reanimated Carver",3681
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","3.72%","Corridor Bruiser",3681
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","2.06%","Lost Legionnaire",3681
"Labyrinth","Epic Fealty","SB+/Gouda/Brie","-","1.17%","Lost",3681
"Labyrinth","Epic Tech","Glowing Gruyere","-","26.91%","RR-8",29352
"Labyrinth","Epic Tech","Glowing Gruyere","-","24.72%","Ash Golem",29352
"Labyrinth","Epic Tech","Glowing Gruyere","-","16.98%","Fungal Technomorph",29352
"Labyrinth","Epic Tech","Glowing Gruyere","-","13.61%","Automated Stone Sentry",29352
"Labyrinth","Epic Tech","Glowing Gruyere","-","7.05%","Tech Golem",29352
"Labyrinth","Epic Tech","Glowing Gruyere","-","4.04%","Reanimated Carver",29352
"Labyrinth","Epic Tech","Glowing Gruyere","-","3.77%","Corridor Bruiser",29352
"Labyrinth","Epic Tech","Glowing Gruyere","-","1.92%","Lost Legionnaire",29352
"Labyrinth","Epic Tech","Glowing Gruyere","-","0.98%","Lost",29352
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","25.34%","RR-8",3426
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","21.86%","Ash Golem",3426
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","15.47%","Fungal Technomorph",3426
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","12.64%","Automated Stone Sentry",3426
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","9.17%","Shadow Stalker",3426
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","5.34%","Tech Golem",3426
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","3.79%","Reanimated Carver",3426
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","3.59%","Corridor Bruiser",3426
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","1.72%","Lost Legionnaire",3426
"Labyrinth","Epic Tech","SB+/Gouda/Brie","-","1.08%","Lost",3426
"Labyrinth","Epic Scholar","Glowing Gruyere","-","26.72%","Summoning Scholar",28128
"Labyrinth","Epic Scholar","Glowing Gruyere","-","24.59%","Sanguinarian",28128
"Labyrinth","Epic Scholar","Glowing Gruyere","-","17.09%","Mystic Scholar",28128
"Labyrinth","Epic Scholar","Glowing Gruyere","-","13.81%","Mystic Herald",28128
"Labyrinth","Epic Scholar","Glowing Gruyere","-","6.95%","Mystic Guardian",28128
"Labyrinth","Epic Scholar","Glowing Gruyere","-","4.08%","Corridor Bruiser",28128
"Labyrinth","Epic Scholar","Glowing Gruyere","-","3.87%","Reanimated Carver",28128
"Labyrinth","Epic Scholar","Glowing Gruyere","-","1.89%","Lost Legionnaire",28128
"Labyrinth","Epic Scholar","Glowing Gruyere","-","0.98%","Lost",28128
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","24.17%","Summoning Scholar",3372
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","22.92%","Sanguinarian",3372
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","15.07%","Mystic Scholar",3372
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","12.96%","Mystic Herald",3372
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","9.85%","Shadow Stalker",3372
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","5.60%","Mystic Guardian",3372
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","3.56%","Reanimated Carver",3372
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","3.32%","Corridor Bruiser",3372
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","1.48%","Lost Legionnaire",3372
"Labyrinth","Epic Scholar","SB+/Gouda/Brie","-","1.07%","Lost",3372
"Labyrinth","Plain Farming","Glowing Gruyere","-","31.76%","Mush Monster",42836
"Labyrinth","Plain Farming","Glowing Gruyere","-","21.02%","Lost Legionnaire",42836
"Labyrinth","Plain Farming","Glowing Gruyere","-","19.83%","Lost",42836
"Labyrinth","Plain Farming","Glowing Gruyere","-","17.70%","Mushroom Harvester",42836
"Labyrinth","Plain Farming","Glowing Gruyere","-","4.87%","Corridor Bruiser",42836
"Labyrinth","Plain Farming","Glowing Gruyere","-","4.82%","Reanimated Carver",42836
"Labyrinth","Plain Farming","SB+/Gouda/Brie","-","28.47%","Mush Monster",50098
"Labyrinth","Plain Farming","SB+/Gouda/Brie","-","19.59%","Mushroom Harvester",50098
